repo,sha,author,date,message
boysenberry-repo-1,d09e445076bbcd163fc9abfbe6d2fce09a611281,Jessica Canepa,2016-12-12T23:11:00Z,"Set theme: ""jekyll-theme-minimal"" in _config.yml."
boysenberry-repo-1,642f3f60f5989713b472447912fcfdcb74b0bd1a,Jessica Canepa,2016-12-12T23:06:48Z,Create Jekyll site.
boysenberry-repo-1,cc319a502ddb791661067a22fd47ada75073865d,jmarlena,2016-08-17T04:52:16Z,add new version of readme
boysenberry-repo-1,6e9828400139a9718d6bf41bcf8456bc0edb1921,Jessica Canepa,2016-07-28T17:04:30Z,Initial commit
Spoon-Knife,d0dd1f61b33d64e29d8bc1372a94ef6a2fee76a9,The Octocat,2014-02-12T23:20:44Z,Pointing to the guide for forking
Spoon-Knife,bb4cc8d3b2e14b3af5df699876dd4ff3acd00b7f,The Octocat,2014-02-04T22:38:36Z,Create styles.css and updated README
Spoon-Knife,a30c19e3f13765a3b48829788bc1cb8b4e95cee4,The Octocat,2014-02-04T22:38:24Z,Created index page for future collaborative edits
git-consortium,b33a9c7c02ad93f621fa38f0e9fc9e867e12fa0e,The Octocat,2014-03-28T17:59:52Z,Trainers and Courses features prioritized
git-consortium,6b9b40ef57b03d5c48ac5ca96ce80dade0949350,The Octocat,2014-03-28T17:59:11Z,Trainers and Courses added to the backlog
git-consortium,e6f269e98cf9fb9b82ff7acee3fd5228f496a51a,The Octocat,2014-03-28T17:58:31Z,Changes after GitHub Pages was implemented
git-consortium,4cad5c3c9234eeb1dbba0181e25f26b061100d88,The Octocat,2014-03-28T17:57:44Z,Create product-backlog.md
git-consortium,9564183d0bbb6cf8874b1ca2bad9a828d6e73546,The Octocat,2014-03-28T17:56:12Z,Maximally minimalist explanatory markdown
git-consortium,e05c856bb80fdf69544896e58e72c80e1f936d60,The Octocat,2014-03-28T17:55:38Z,Initial commit
hello-worId,7e068727fdb347b685b658d2981f8c85f7bf0585,The Octocat,2014-06-18T21:26:19Z,Initial commit
test-repo1,57523742631876181d95bc268e09fb3fd1a4d85e,tomjohnson1492,2016-03-19T07:13:09Z,"committing new version of jekyll doc theme -- 5.0, with some refinements to come with the documentation"
octocat.github.io,3a9796cf19902af0f7e677391b340f1ae4128433,The Octocat,2015-11-14T22:22:36Z,Replace master branch with page content via GitHub
octocat.github.io,e2daa5755ee24217f39a10dc6b94988c19e0f109,The Octocat,2015-10-10T21:35:58Z,created CNAME file
octocat.github.io,67c0afc1da354d8571f51b6f0af8f2794117fd10,The Octocat,2014-04-27T10:06:39Z,updated index for better welcome message
octocat.github.io,c0e4a095428f36b81f0bd4239d353f71918cbef3,The Octocat,2014-04-26T20:14:28Z,Replace master branch with page content via GitHub
Hello-World,7fd1a60b01f91b314f59955a4e4d4e80d8edf11d,The Octocat,2012-03-06T23:06:50Z,Merge pull request #6 from Spaceghost/patch-1
Hello-World,762941318ee16e59dabbacb1b4049eec22f0d303,Johnneylee Jack Rollins,2011-09-14T04:42:41Z,New line at end of file. --Signed off by Spaceghost
Hello-World,553c2077f0edc3d5dc5d17262f6aa498e69d6f8e,cameronmcefee,2011-01-26T19:06:08Z,first commit
linguist,64a44011ca0ee0693b1c1767c96d1fba25d5be7d,The Octocat,2016-08-02T19:06:17Z,Merge pull request #1 from jmarlena/patch-1
linguist,d43f43c2b543928bdd94f5de137104499017828b,Jessica Canepa,2016-08-02T19:05:42Z,add comment to file
